"","Min","Max","Mean","Median","No. Outliers"
"1",2.256,2.603,2.432,2.42835672911738,numeric(0)
"2",2.283,2.719,2.533,2.55824455282452,c(`71` = 2.283, `72` = 2.283, `75` = 2.34)
"3",2.284,2.749,2.456,2.42201529102925,numeric(0)
"4",2.31,2.6,2.451,2.44219714209711,numeric(0)
"5",2.237,2.603,2.429,2.42426682939311,numeric(0)
"6",2.242,2.784,2.499,2.50957031032487,numeric(0)
"7",2.238,2.693,2.464,2.46920474069178,numeric(0)
"8",2.254,2.767,2.526,2.54369307177859,numeric(0)
"9",2.3,2.97,2.52,2.50882701187503,numeric(0)
"10",2.29,2.623,2.479,2.4829945008815,numeric(0)
"11",2.316,2.699,2.499,2.50470129208363,numeric(0)
"12",2.326,2.671,2.465,2.47757751273026,numeric(0)
"13",2.207,2.68,2.441,2.46640456498677,numeric(0)
