"","Min","Max","Mean","Median","No. Outliers"
"1",2,2.017,2.009,2.00949,numeric(0)
"2",1.992,2.012,2.002,2.00277,numeric(0)
"3",2.004,2.019,2.012,2.01245,numeric(0)
"4",2.003,2.02,2.012,2.01164,numeric(0)
"5",1.999,2.019,2.01,2.00976,numeric(0)
"6",1.989,2.006,1.999,1.99975,numeric(0)
"7",1.998,2.015,2.006,2.00731,numeric(0)
"8",1.998,2.014,2.006,2.00711,numeric(0)
"9",2.006,2.027,2.015,2.01633,numeric(0)
"10",1.998,2.022,2.01,2.0094,numeric(0)
"11",2.002,2.023,2.014,2.01329,numeric(0)
"12",1.997,2.016,2.007,2.00683,numeric(0)
"13",2.003,2.02,2.012,2.0132,numeric(0)
